Paramètre;Valeur;Unité;Catégorie;Effet sur la simulation;Note
CASTER_AXIS_INSET;165.0;mm;Bloquant SimScale;Position des appuis (conditions aux limites);axe de pivot à 165 des bords (balayage dans l'enveloppe)
CASTER_BOLT_PITCH;(140.0, 105.0);mm;Bloquant SimScale;Zone d'appui et perçages de la platine porte-roue;entraxe perçages platine (4×M16) — à caler sur la référence
CASTER_CMU;800.0;kg;Bloquant SimScale;Critère de vérification des roues (référence catalogue à choisir);charge admissible par roue ≥ (tare + 750) × 1,5 / 3 ≈ 720 kg — était 500 kg (insuffisant)
CASTER_DESIGN_SUPPORTS;3;u;Bloquant SimScale;Hypothèse d'appui (3 roues porteuses) des cas de charge roulage;nombre de roues porteuses retenu pour le dimensionnement (sol irrégulier)
CASTER_H;245.0;mm;Bloquant SimScale;"Chaîne de cotes cale / platine ; à figer avec la référence";hauteur hors tout roulette (catalogue)
CASTER_PLATE;(175.0, 140.0, 10.0);mm;Bloquant SimScale;Zone d'appui des roues sur la platine porte-roue;platine de roulette série renforcée L×l×ép. (était 140×110×8 en CMU 500)
CHASSIS_CROSS_X;(290.0, 1100.0, 1910.0);mm;Bloquant SimScale;Portées du plancher et appuis du châssis;axes X des traverses intermédiaires de châssis (portée plancher ≤ 330)
FLOOR_T;4.0;mm;Bloquant SimScale;Plancher porteur de la charge utile;tôle de plancher structurelle (larmée 4/6 envisageable)
FORK_POCKET_H;80.0;mm;Bloquant SimScale;Section des fourreaux;hauteur extérieure (intérieur 70)
FORK_POCKET_PITCH;900.0;mm;Bloquant SimScale;Appuis du cas de charge « levage par fourches » — pas une norme;"entraxe PROVISOIRE — valeur de travail, pas une norme ni un standard ; à confirmer selon les engins ciblés"
FORK_POCKET_T;5.0;mm;Bloquant SimScale;Section des fourreaux;épaisseur (tube 230×80×5 ou tôle pliée)
FORK_POCKET_W;230.0;mm;Bloquant SimScale;Section des fourreaux;largeur extérieure (intérieur 220)
HANDLING_BAR_STANDOFF;75.0;mm;Bloquant SimScale;Bras de levier de l'effort de poussée sur les supports;axe de barre / face extérieure du panneau (passage de main ≈ 58)
HANDLING_BAR_SUPPORT;(10.0, 60.0);mm;Bloquant SimScale;Section des supports de barre;plat support ép. × hauteur
HANDLING_BAR_SUPPORT_PITCH;760.0;mm;Bloquant SimScale;Portée de la barre entre supports;entraxe des 2 supports
HANDLING_BAR_Z;1000.0;mm;Bloquant SimScale;Point d'application de l'effort de poussée manuelle;hauteur d'axe (ergonomie 900–1100)
